bin,fasta,library_id,CenterName,body_site,
Met5709_refinement_out_metawrap_50_10_bins_bin.1,Met5709_refinement_out_metawrap_50_10_bins_bin.1.fa,Sub14_Ic_T2,Chicago,skin,
Met5715_refinement_out_metawrap_50_10_bins_bin.5,Met5715_refinement_out_metawrap_50_10_bins_bin.5.fa,Sub15_Ic_T2,Chicago,skin,
Met5718_refinement_out_metawrap_50_10_bins_bin.12,Met5718_refinement_out_metawrap_50_10_bins_bin.12.fa,Sub2_An_T2,Chicago,peri-anal,
Met5696_refinement_out_metawrap_50_10_bins_bin.12,Met5696_refinement_out_metawrap_50_10_bins_bin.12.fa,Sub23_An_T1,Chicago,peri-anal,
Met5789_refinement_out_metawrap_50_10_bins_bin.4,Met5789_refinement_out_metawrap_50_10_bins_bin.4.fa,Sub27_An_T1,Chicago,peri-anal,
Met5791_refinement_out_metawrap_50_10_bins_bin.7,Met5791_refinement_out_metawrap_50_10_bins_bin.7.fa,Sub27_Ic_T1,Chicago,skin,
Met4854_refinement_out_metawrap_50_10_bins_bin.12,Met4854_refinement_out_metawrap_50_10_bins_bin.12.fa,Sub28_An_T2,Chicago,peri-anal,
Met4854_bins_refined_metawrap_50_10_bins_bin.12.spades,Met4854_bins_refined_metawrap_50_10_bins_bin.12.spades.fa,Sub28_An_T2_spades,Chicago,peri-anal,
Met4861_refinement_out_metawrap_50_10_bins_bin.4,Met4861_refinement_out_metawrap_50_10_bins_bin.4.fa,Sub28_An_T3,Chicago,peri-anal,
Met4861_bins_refined_metawrap_50_10_bins_bin.5.spades,Met4861_bins_refined_metawrap_50_10_bins_bin.5.spades.fa,Sub28_An_T3_spades,Chicago,peri-anal,
Met4853_refinement_out_metawrap_50_10_bins_bin.9,Met4853_refinement_out_metawrap_50_10_bins_bin.9.fa,Sub28_Ic_T2,Chicago,skin,
Met4853_bins_refined_metawrap_50_10_bins_bin.8.spades,Met4853_bins_refined_metawrap_50_10_bins_bin.8.spades.fa,Sub28_Ic_T2_spades,Chicago,skin,
Met5689_refinement_out_metawrap_50_10_bins_bin.20,Met5689_refinement_out_metawrap_50_10_bins_bin.20.fa,Sub35_An_T1,Chicago,peri-anal,
Met5674_refinement_out_metawrap_50_10_bins_bin.24,Met5674_refinement_out_metawrap_50_10_bins_bin.24.fa,Sub4_An_T1,Chicago,peri-anal,
Met5723_refinement_out_metawrap_50_10_bins_bin.7,Met5723_refinement_out_metawrap_50_10_bins_bin.7.fa,Sub4_An_T2,Chicago,peri-anal,
Met5749_refinement_out_metawrap_50_10_bins_bin.2,Met5749_refinement_out_metawrap_50_10_bins_bin.2.fa,Sub4_An_T3,Chicago,peri-anal,
Met5812_refinement_out_metawrap_50_10_bins_bin.6,Met5812_refinement_out_metawrap_50_10_bins_bin.6.fa,Sub41_An_T1,Chicago,peri-anal,
Met5663_refinement_out_metawrap_50_10_bins_bin.11,Met5663_refinement_out_metawrap_50_10_bins_bin.11.fa,Sub46_An_T1,Chicago,peri-anal,
Met4847_refinement_out_metawrap_50_10_bins_bin.3,Met4847_refinement_out_metawrap_50_10_bins_bin.3.fa,Sub46_Ic_T2,Chicago,skin,
Met4847_bins_refined_metawrap_50_10_bins_bin.3.spades,Met4847_bins_refined_metawrap_50_10_bins_bin.3.spades.fa,Sub46_Ic_T2_spades,Chicago,skin,
SRR9040466_refinement_out_metawrap_50_10_bins_bin.38,SRR9040466_refinement_out_metawrap_50_10_bins_bin.38.fa,S02_032_B_7_R,RI,stool,SRR9040466
SRR9040471_refinement_out_metawrap_50_10_bins_bin.2,SRR9040471_refinement_out_metawrap_50_10_bins_bin.2.fa,S02_041_3_7_R,RI,stool,SRR9040471
SRR9040472_refinement_out_metawrap_50_10_bins_bin.8,SRR9040472_refinement_out_metawrap_50_10_bins_bin.8.fa,S04_003_6_5_R,RI,stool,SRR9040472
SRR9040462_refinement_out_metawrap_50_10_bins_bin.5,SRR9040462_refinement_out_metawrap_50_10_bins_bin.5.fa,S04_059_6_9_R,RI,stool,SRR9040462
SRR9040405_refinement_out_metawrap_50_10_bins_bin.34,SRR9040405_refinement_out_metawrap_50_10_bins_bin.34.fa,S06_060_6_5_R,RI,stool,SRR9040405
SRR9040448_refinement_out_metawrap_50_10_bins_bin.4,SRR9040448_refinement_out_metawrap_50_10_bins_bin.4.fa,S06_108_3_9_R,RI,stool,SRR9040448
SRR9040445_refinement_out_metawrap_50_10_bins_bin.1,SRR9040445_refinement_out_metawrap_50_10_bins_bin.1.fa,S07_056_3_7_R,RI,stool,SRR9040445
SRR9040449_refinement_out_metawrap_50_10_bins_bin.8,SRR9040449_refinement_out_metawrap_50_10_bins_bin.8.fa,S09_024_B_5_R,RI,stool,SRR9040449
SRR9040433_refinement_out_metawrap_50_10_bins_bin.42,SRR9040433_refinement_out_metawrap_50_10_bins_bin.42.fa,S09_153_3_9_R,RI,stool,SRR9040433
SRR9040402_refinement_out_metawrap_50_10_bins_bin.34,SRR9040402_refinement_out_metawrap_50_10_bins_bin.34.fa,S10_010_6_6_R,RI,stool,SRR9040402
SRR9040403_refinement_out_metawrap_50_10_bins_bin.12,SRR9040403_refinement_out_metawrap_50_10_bins_bin.12.fa,S10_011_9_7_R,RI,stool,SRR9040403
SRR9040416_refinement_out_metawrap_50_10_bins_bin.4,SRR9040416_refinement_out_metawrap_50_10_bins_bin.4.fa,S10_012_6_6_R,RI,stool,SRR9040416
SRR9040477_refinement_out_metawrap_50_10_bins_bin.2,SRR9040477_refinement_out_metawrap_50_10_bins_bin.2.fa,S10_026_B_8_R,RI,stool,SRR9040477
SRR9040461_refinement_out_metawrap_50_10_bins_bin.25,SRR9040461_refinement_out_metawrap_50_10_bins_bin.25.fa,S13_030_3_6_R,RI,stool,SRR9040461
SRR9040432_refinement_out_metawrap_50_10_bins_bin.3,SRR9040432_refinement_out_metawrap_50_10_bins_bin.3.fa,S13_035_12_7_R,RI,stool,SRR9040432
SRR9040473_refinement_out_metawrap_50_10_bins_bin.10,SRR9040473_refinement_out_metawrap_50_10_bins_bin.10.fa,S21_012_12_7_R,RI,stool,SRR9040473
SRR9040458_refinement_out_metawrap_50_10_bins_bin.2,SRR9040458_refinement_out_metawrap_50_10_bins_bin.2.fa,S21_037_6_7_R,RI,stool,SRR9040458
SRR9040418_refinement_out_metawrap_50_10_bins_bin.13,SRR9040418_refinement_out_metawrap_50_10_bins_bin.13.fa,S23_025_9_9_R,RI,stool,SRR9040418
SRR9040419_refinement_out_metawrap_50_10_bins_bin.18,SRR9040419_refinement_out_metawrap_50_10_bins_bin.18.fa,S26_031_6_5_R,RI,stool,SRR9040419
SRR9040417_refinement_out_metawrap_50_10_bins_bin.17,SRR9040417_refinement_out_metawrap_50_10_bins_bin.17.fa,S29_013_6_9_R,RI,stool,SRR9040417
SRR9040412_refinement_out_metawrap_50_10_bins_bin.6,SRR9040412_refinement_out_metawrap_50_10_bins_bin.6.fa,S32_022_12_5_R,RI,stool,SRR9040412
SRR9040413_refinement_out_metawrap_50_10_bins_bin.36,SRR9040413_refinement_out_metawrap_50_10_bins_bin.36.fa,S32_027_B_5_R,RI,stool,SRR9040413
SRR9040434_refinement_out_metawrap_50_10_bins_bin.5,SRR9040434_refinement_out_metawrap_50_10_bins_bin.5.fa,S35_010_B_5_R,RI,stool,SRR9040434
SRR9040438_refinement_out_metawrap_50_10_bins_bin.6,SRR9040438_refinement_out_metawrap_50_10_bins_bin.6.fa,S36_007_B_7_R,RI,stool,SRR9040438
SRR9040420_refinement_out_metawrap_50_10_bins_bin.10,SRR9040420_refinement_out_metawrap_50_10_bins_bin.10.fa,S38_024_9_9_R,RI,stool,SRR9040420
SRR9040442_refinement_out_metawrap_50_10_bins_bin.2,SRR9040442_refinement_out_metawrap_50_10_bins_bin.2.fa,S39_011_6_7_R,RI,stool,SRR9040442
SRR9040422_refinement_out_metawrap_50_10_bins_bin.1,SRR9040422_refinement_out_metawrap_50_10_bins_bin.1.fa,S40_038_9_9_R,RI,stool,SRR9040422
SRR9040423_refinement_out_metawrap_50_10_bins_bin.26,SRR9040423_refinement_out_metawrap_50_10_bins_bin.26.fa,S40_044_6_9_R,RI,stool,SRR9040423
SRR9040429_refinement_out_metawrap_50_10_bins_bin.6,SRR9040429_refinement_out_metawrap_50_10_bins_bin.6.fa,S41_013_9_9_R,RI,stool,SRR9040429
SRR9040444_refinement_out_metawrap_50_10_bins_bin.2,SRR9040444_refinement_out_metawrap_50_10_bins_bin.2.fa,S42_014_6_7_R,RI,stool,SRR9040444
,SRR13726085_refinement_out_metawrap_50_10_bins_bin.3.fa,GER_SNF_F145_V1_stool,CT SNF1,stool,SRR13726085
,SRR13725883_refinement_out_metawrap_50_10_bins_bin.4.fa,GER_SNF_F147_V1_stool,CT SNF1,stool,SRR13725883
,SRR13726075_refinement_out_metawrap_50_10_bins_bin.5.fa,GER_SNF_F228_V1_stool,CT SNF1,stool,SRR13726075
,SRR13789818_refinement_out_metawrap_50_10_bins_bin.3.fa,GER_SNF_F228_V2_hand,CT SNF1,skin,SRR13789818
,SRR13726047_refinement_out_metawrap_50_10_bins_bin.1.fa,GER_SNF_F270_V1_stool,CT SNF1,stool,SRR13726047
,SRR13789149_refinement_out_metawrap_50_10_bins_bin.1.fa,GER_SNF_F291_V2_Af,CT SNF1,skin,SRR13789149
,SRR13726066_refinement_out_metawrap_50_10_bins_bin.3.fa,GER_SNF_F344_V1_stool,CT SNF1,stool,SRR13726066
,SRR13789237_refinement_out_metawrap_50_10_bins_bin.2.fa,GER_SNF_F145_V2_stool,CT SNF2,stool,SRR13789237
,SRR13789361_refinement_out_metawrap_50_10_bins_bin.3.fa,GER_SNF_F177_V3_stool,CT SNF2,stool,SRR13789361
,SRR13725804_refinement_out_metawrap_50_10_bins_bin.2.fa,GER_SNF_F354_V2_stool,CT SNF4,stool,SRR13725804
,SRR13725932_refinement_out_metawrap_50_10_bins_bin.2.fa,GER_SNF_F380_V1_stool,CT SNF4,stool,SRR13725932
,SRR13725921_refinement_out_metawrap_50_10_bins_bin.2.fa,GER_SNF_F380_V2_stool,CT SNF4,stool,SRR13725921
,GCF_000212715.2,ST100,ST100,reference,GCF
,GCF_019915525.1,ST131,ST131,reference,GCF
,GCF_000026325.1,ST69,ST69,reference,GCF
,GCF_000007445.1,ST73,ST73,reference,GCF
,GCF_000013265.1,ST95,ST95,reference,GCF
SAMN11269770_refinement_out_metawrap_50_10_bins_bin.1,SAMN11269770_refinement_out_metawrap_50_10_bins_bin.1.fa,CH1002_day_0,MA,stool,
SAMN11269737_refinement_out_metawrap_50_10_bins_bin.1,SAMN11269737_refinement_out_metawrap_50_10_bins_bin.1.fa,CH1009_day_3,MA,stool,
SAMN11269745_refinement_out_metawrap_50_10_bins_bin.2,SAMN11269745_refinement_out_metawrap_50_10_bins_bin.2.fa,CH1009_day_30,MA,stool,
SAMN11269738_refinement_out_metawrap_50_10_bins_bin.1,SAMN11269738_refinement_out_metawrap_50_10_bins_bin.1.fa,CH1009_day_6,MA,stool,
SAMN11269746_refinement_out_metawrap_50_10_bins_bin.4,SAMN11269746_refinement_out_metawrap_50_10_bins_bin.4.fa,CH1009_day_60,MA,stool,
SAMN11269739_refinement_out_metawrap_50_10_bins_bin.1,SAMN11269739_refinement_out_metawrap_50_10_bins_bin.1.fa,CH1009_day_9,MA,stool,
SAMN11269747_refinement_out_metawrap_50_10_bins_bin.1,SAMN11269747_refinement_out_metawrap_50_10_bins_bin.1.fa,CH1009_day_90,MA,stool,
SAMN11269781_refinement_out_metawrap_50_10_bins_bin.1,SAMN11269781_refinement_out_metawrap_50_10_bins_bin.1.fa,CH1019_day_30,MA,stool,
SAMN11269783_refinement_out_metawrap_50_10_bins_bin.1,SAMN11269783_refinement_out_metawrap_50_10_bins_bin.1.fa,CH1019_day_90,MA,stool,
SAMN11269848_refinement_out_metawrap_50_10_bins_bin.3,SAMN11269848_refinement_out_metawrap_50_10_bins_bin.3.fa,CH1048_day_90,MA,stool,
SAMN11269944_refinement_out_metawrap_50_10_bins_bin.7,SAMN11269944_refinement_out_metawrap_50_10_bins_bin.7.fa,CH1075_day_30,MA,stool,
SAMN11269940_refinement_out_metawrap_50_10_bins_bin.2,SAMN11269940_refinement_out_metawrap_50_10_bins_bin.2.fa,CH1086_day_60,MA,stool,
SAMN11269953_refinement_out_metawrap_50_10_bins_bin.4,SAMN11269953_refinement_out_metawrap_50_10_bins_bin.4.fa,CH1093_day_180,MA,stool,
SAMN11269876_refinement_out_metawrap_50_10_bins_bin.1,SAMN11269876_refinement_out_metawrap_50_10_bins_bin.1.fa,CH1097_day_0,MA,stool,
SAMN11269966_refinement_out_metawrap_50_10_bins_bin.2,SAMN11269966_refinement_out_metawrap_50_10_bins_bin.2.fa,CH1097_day_120,MA,stool,
SAMN11269917_refinement_out_metawrap_50_10_bins_bin.6,SAMN11269917_refinement_out_metawrap_50_10_bins_bin.6.fa,CH1097_day_30,MA,stool,
SAMN11269908_refinement_out_metawrap_50_10_bins_bin.6,SAMN11269908_refinement_out_metawrap_50_10_bins_bin.6.fa,CH1098_day_30,MA,stool,
SAMN11269894_refinement_out_metawrap_50_10_bins_bin.4,SAMN11269894_refinement_out_metawrap_50_10_bins_bin.4.fa,CH1099_day_0,MA,stool,
SAMN11269882_refinement_out_metawrap_50_10_bins_bin.2,SAMN11269882_refinement_out_metawrap_50_10_bins_bin.2.fa,CH1105_day_0,MA,stool,
SAMN11269914_refinement_out_metawrap_50_10_bins_bin.2,SAMN11269914_refinement_out_metawrap_50_10_bins_bin.2.fa,CH1105_day_30,MA,stool,
SAMN11269929_refinement_out_metawrap_50_10_bins_bin.5,SAMN11269929_refinement_out_metawrap_50_10_bins_bin.5.fa,CH1105_day_60,MA,stool,
SAMN11269886_refinement_out_metawrap_50_10_bins_bin.1,SAMN11269886_refinement_out_metawrap_50_10_bins_bin.1.fa,CH1108_day_0,MA,stool,
SAMN11269910_refinement_out_metawrap_50_10_bins_bin.3,SAMN11269910_refinement_out_metawrap_50_10_bins_bin.3.fa,CH1108_day_30,MA,stool,
SAMN11269965_refinement_out_metawrap_50_10_bins_bin.4,SAMN11269965_refinement_out_metawrap_50_10_bins_bin.4.fa,CH1111_day_60,MA,stool,
SAMN11269931_refinement_out_metawrap_50_10_bins_bin.2,SAMN11269931_refinement_out_metawrap_50_10_bins_bin.2.fa,CH1114_day_30,MA,stool,
SAMN11269958_refinement_out_metawrap_50_10_bins_bin.2,SAMN11269958_refinement_out_metawrap_50_10_bins_bin.2.fa,CH1114_day_60,MA,stool,
SAMN11269945_refinement_out_metawrap_50_10_bins_bin.5,SAMN11269945_refinement_out_metawrap_50_10_bins_bin.5.fa,CH1114_day_90,MA,stool,
SAMN11269895_refinement_out_metawrap_50_10_bins_bin.4,SAMN11269895_refinement_out_metawrap_50_10_bins_bin.4.fa,CH1115_day_0,MA,stool,
SAMN11269903_refinement_out_metawrap_50_10_bins_bin.1,SAMN11269903_refinement_out_metawrap_50_10_bins_bin.1.fa,CH1118_day_30,MA,stool,
SAMN11269956_refinement_out_metawrap_50_10_bins_bin.3,SAMN11269956_refinement_out_metawrap_50_10_bins_bin.3.fa,CH1118_day_60,MA,stool,
SAMN11269957_refinement_out_metawrap_50_10_bins_bin.1,SAMN11269957_refinement_out_metawrap_50_10_bins_bin.1.fa,CH1118_day_90,MA,stool,
SAMN11270009_refinement_out_metawrap_50_10_bins_bin.2,SAMN11270009_refinement_out_metawrap_50_10_bins_bin.2.fa,CH1126_day_0,MA,stool,
SAMN11269996_refinement_out_metawrap_50_10_bins_bin.3,SAMN11269996_refinement_out_metawrap_50_10_bins_bin.3.fa,CH1137_day_0,MA,stool,
SAMN11269992_refinement_out_metawrap_50_10_bins_bin.2,SAMN11269992_refinement_out_metawrap_50_10_bins_bin.2.fa,CH1140_day_7,MA,stool,
SAMN11270008_refinement_out_metawrap_50_10_bins_bin.1,SAMN11270008_refinement_out_metawrap_50_10_bins_bin.1.fa,CH1167_day_0,MA,stool,
SAMN11269754_refinement_out_metawrap_50_10_bins_bin.2,SAMN11269754_refinement_out_metawrap_50_10_bins_bin.2.fa,CH3004_day_18,MA,stool,